sample,fastq1,fastq2,histone_mark
BPES14_H3K27Ac,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES14_H3K27Ac/13_0MUH_034SIPBLN_BPES14_H3K27Ac_hs_i701-503_r1.fastq.gz,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES14_H3K27Ac/13_0MUH_034SIPBLN_BPES14_H3K27Ac_hs_i701-503_r2.fastq.gz,H3K27Ac
BPES14_H3K4me3,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES14_H3K4me3/86_0MUR_034SIPBLN_BPES14_H3K4me3_hs_i-701-505_r1.fastq.gz,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES14_H3K4me3/86_0MUR_034SIPBLN_BPES14_H3K4me3_hs_i-701-505_r2.fastq.gz,H3K4me3
BPES18_H3K27Ac,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES18_H3K27Ac/14_0MUI_034SIPBLN_BPES18_H3K27Ac_hs_i702-503_r1.fastq.gz,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES18_H3K27Ac/14_0MUI_034SIPBLN_BPES18_H3K27Ac_hs_i702-503_r2.fastq.gz,H3K27Ac
BPES18_H3K4me3,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES18_H3K4me3/87_0MUS_034SIPBLN_BPES18_H3K4me3_hs_i-702-505_r1.fastq.gz,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES18_H3K4me3/87_0MUS_034SIPBLN_BPES18_H3K4me3_hs_i-702-505_r2.fastq.gz,H3K4me3
BPES2_H3K27Ac,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES2_H3K27Ac/05_0MU9_034SIPBLN_BPES2_H3K27Ac_hs_i701-502_r1.fastq.gz,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES2_H3K27Ac/05_0MU9_034SIPBLN_BPES2_H3K27Ac_hs_i701-502_r2.fastq.gz,H3K27Ac
BPES2_H3K4me3,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES2_H3K4me3/78_0MUJ_034SIPBLN_BPES2_H3K4me3_hs_i-701-504_r1.fastq.gz,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES2_H3K4me3/78_0MUJ_034SIPBLN_BPES2_H3K4me3_hs_i-701-504_r2.fastq.gz,H3K4me3
BPES4_H3K27Ac,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES4_H3K27Ac/06_0MUA_034SIPBLN_BPES4_H3K27Ac_hs_i702-502_r1.fastq.gz,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES4_H3K27Ac/06_0MUA_034SIPBLN_BPES4_H3K27Ac_hs_i702-502_r2.fastq.gz,H3K27Ac
BPES4_H3K4me3,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES4_H3K4me3/79_0MUK_034SIPBLN_BPES4_H3K4me3_hs_i-702-504_r1.fastq.gz,/mnt/iusers01/jw01/u08582cr/cuttag/raw_data/BPES4_H3K4me3/79_0MUK_034SIPBLN_BPES4_H3K4me3_hs_i-702-504_r2.fastq.gz,H3K4me3
